Vulnerabilidad;Descripción;Solución;Dirección IP;Puerto;Nombre;Protocolo;Severidad;Explotable;cve;bid;Puntaje cvss;Nombre del plug-in;Información adicional;xref;Dirección mac;Sistema operativo;
The remote Telnet server transmits traffic in cleartext.;The remote host is running a Telnet server over an unencrypted channel.  Using Telnet over an unencrypted channel is not recommended as logins, passwords, and commands are transferred in cleartext. This allows a remote, man-in-the-middle attacker to eavesdrop on a Telnet session to obtain credentials or other sensitive information and to modify traffic exchanged between a client and server.  SSH is preferred over Telnet since it protects credentials from eavesdropping and can tunnel additional data streams such as an X11 session.;Disable the Telnet service and use SSH instead.;10.1.4.253;23;;tcp;Medium;False;;;;Unencrypted Telnet Server;;;;AIX 4.3.2 AIX 5.2 CatalystOS 6.3 VAX/VMS 7.1;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.205;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;KYOCERA Printer Linux Kernel 2.6;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.203;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;Linux Kernel 3.1 Linux Kernel 3.3;
The remote SSH server is configured to allow MD5 and 96-bit MAC algorithms.;The remote SSH server is configured to allow either MD5 or 96-bit MAC algorithms, both of which are considered weak.  Note that this plugin only checks for the options of the SSH server, and it does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable MD5 and 96-bit MAC algorithms.;10.1.4.203;22;;tcp;Low;False;;;;SSH Weak MAC Algorithms Enabled;;;;Linux Kernel 3.1 Linux Kernel 3.3;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.202;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;KYOCERA Printer Linux Kernel 2.6;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.201;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;KYOCERA Printer Linux Kernel 2.6;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.200;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;Linux Kernel 3.1 Linux Kernel 3.3;
The remote SSH server is configured to allow MD5 and 96-bit MAC algorithms.;The remote SSH server is configured to allow either MD5 or 96-bit MAC algorithms, both of which are considered weak.  Note that this plugin only checks for the options of the SSH server, and it does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable MD5 and 96-bit MAC algorithms.;10.1.4.200;22;;tcp;Low;False;;;;SSH Weak MAC Algorithms Enabled;;;;Linux Kernel 3.1 Linux Kernel 3.3;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.198;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;KYOCERA Printer Linux Kernel 2.6;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.197;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;KYOCERA Printer Linux Kernel 2.6;
