Vulnerabilidad;Descripción;Solución;Dirección IP;Puerto;Nombre;Protocolo;Severidad;Explotable;cve;bid;Puntaje cvss;Nombre del plug-in;Información adicional;xref;Dirección mac;Sistema operativo;
The remote host is missing several patches.;The remote host is missing one or more security patches. This plugin lists the newest version of each patch to install to make sure the remote host is up-to-date.;Install the patches listed below.;172.17.7.11;0;RAGEGUY;tcp;None;False;;;;Patch Report;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote host allows resuming SSL sessions.;This script detects whether a host allows resuming SSL sessions by performing a full SSL handshake to receive a session ID, and then reconnecting with the previously used session ID.  If the server accepts the session ID in the second connection, the server maintains a cache of sessions that can be resumed.;n/a;172.17.7.11;3389;RAGEGUY;tcp;None;False;;;;SSL Session Resume Supported;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote Windows host is affected by a vulnerability in the HTTP protocol stack.;The version of Windows running on the remote host is affected by a vulnerability in the HTTP protocol stack (HTTP.sys) due to improperly parsing crafted HTTP requests. A remote attacker can exploit this to execute arbitrary code with System privileges.;Microsoft has released a set of patches for Windows 7, 2008 R2, 8, 8.1, 2012, and 2012 R2;172.17.7.11;8081;RAGEGUY;tcp;Critical;True;CVE-2015-1635;74013;8.7;MS15-034: Vulnerability in HTTP.sys Could Allow Remote Code Execution (3042553) (uncredentialed check);https://technet.microsoft.com/en-us/library/security/MS15-034;OSVDB:120629 MSFT:MS15-034 IAVA:2015-A-0092;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote Windows host is affected by a vulnerability in the HTTP protocol stack.;The version of Windows running on the remote host is affected by a vulnerability in the HTTP protocol stack (HTTP.sys) due to improperly parsing crafted HTTP requests. A remote attacker can exploit this to execute arbitrary code with System privileges.;Microsoft has released a set of patches for Windows 7, 2008 R2, 8, 8.1, 2012, and 2012 R2;172.17.7.11;8080;RAGEGUY;tcp;Critical;True;CVE-2015-1635;74013;8.7;MS15-034: Vulnerability in HTTP.sys Could Allow Remote Code Execution (3042553) (uncredentialed check);https://technet.microsoft.com/en-us/library/security/MS15-034;OSVDB:120629 MSFT:MS15-034 IAVA:2015-A-0092;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote Windows host is affected by a vulnerability in the HTTP protocol stack.;The version of Windows running on the remote host is affected by a vulnerability in the HTTP protocol stack (HTTP.sys) due to improperly parsing crafted HTTP requests. A remote attacker can exploit this to execute arbitrary code with System privileges.;Microsoft has released a set of patches for Windows 7, 2008 R2, 8, 8.1, 2012, and 2012 R2;172.17.7.11;20;RAGEGUY;tcp;Critical;True;CVE-2015-1635;74013;8.7;MS15-034: Vulnerability in HTTP.sys Could Allow Remote Code Execution (3042553) (uncredentialed check);https://technet.microsoft.com/en-us/library/security/MS15-034;OSVDB:120629 MSFT:MS15-034 IAVA:2015-A-0092;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The Microsoft IIS service running on the remote system contains flaws that could lead to an unauthorized information disclosure.;The FTP service in the version of Microsoft IIS 7.0 or 7.5 on the remote Windows host is affected by a command injection vulnerability that could result in unauthorized information disclosure.;Microsoft has released a set of patches for Vista, 2008, 7, and 2008 R2.;172.17.7.11;1337;RAGEGUY;tcp;Medium;False;CVE-2012-2532;56440;3.7;MS12-073: Vulnerabilities in Microsoft IIS Could Allow Information Disclosure (2733829) (uncredentialed check);http://technet.microsoft.com/en-us/security/bulletin/ms12-073;OSVDB:87262 MSFT:MS12-073 IAVB:2012-B-0111;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote service supports the use of the RC4 cipher.;The remote host supports the use of RC4 in one or more cipher suites. The RC4 cipher is flawed in its generation of a pseudo-random stream of bytes so that a wide variety of small biases are introduced into the stream, decreasing its randomness.  If plaintext is repeatedly encrypted (e.g., HTTP cookies), and an attacker is able to obtain many (i.e., tens of millions) ciphertexts, the attacker may be able to derive the plaintext.;Reconfigure the affected application, if possible, to avoid use of RC4 ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser and web server support.;172.17.7.11;3389;RAGEGUY;tcp;Low;False;CVE-2013-2566 CVE-2015-2808;58796 73684;2.3;SSL RC4 Cipher Suites Supported (Bar Mitzvah);http://www.nessus.org/u?217a3666 http://cr.yp.to/talks/2013.03.12/slides.pdf http://www.isg.rhul.ac.uk/tls/ http://www.imperva.com/docs/HII_Attacking_SSL_when_using_RC4.pdf;OSVDB:91162 OSVDB:117855;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote service supports the use of SSL Perfect Forward Secrecy ciphers, which maintain confidentiality even if the key is stolen.;The remote host supports the use of SSL ciphers that offer Perfect Forward Secrecy (PFS) encryption.  These cipher suites ensure that recorded SSL traffic cannot be broken at a future date if the server&apos.s private key is compromised.;n/a;172.17.7.11;3389;RAGEGUY;tcp;None;False;;;;SSL Perfect Forward Secrecy Cipher Suites Supported;http://www.openssl.org/docs/apps/ciphers.html http://en.wikipedia.org/wiki/Diffie-Hellman_key_exchange http://en.wikipedia.org/wiki/Perfect_forward_secrecy;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote service supports the use of SSL Perfect Forward Secrecy ciphers, which maintain confidentiality even if the key is stolen.;The remote host supports the use of SSL ciphers that offer Perfect Forward Secrecy (PFS) encryption.  These cipher suites ensure that recorded SSL traffic cannot be broken at a future date if the server&apos.s private key is compromised.;n/a;172.17.7.11;3790;RAGEGUY;tcp;None;False;;;;SSL Perfect Forward Secrecy Cipher Suites Supported;http://www.openssl.org/docs/apps/ciphers.html http://en.wikipedia.org/wiki/Diffie-Hellman_key_exchange http://en.wikipedia.org/wiki/Perfect_forward_secrecy;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote service supports the use of SSL Cipher Block Chaining ciphers, which combine previous blocks with subsequent ones.;The remote host supports the use of SSL ciphers that operate in Cipher Block Chaining (CBC) mode.  These cipher suites offer additional security over Electronic Codebook (ECB) mode, but have the potential to leak information if used improperly.;n/a;172.17.7.11;3389;RAGEGUY;tcp;None;False;;;;SSL Cipher Block Chaining Cipher Suites Supported;http://www.openssl.org/docs/apps/ciphers.html http://www.nessus.org/u?cc4a822a http://www.openssl.org/~bodo/tls-cbc.txt;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote service supports the use of SSL Cipher Block Chaining ciphers, which combine previous blocks with subsequent ones.;The remote host supports the use of SSL ciphers that operate in Cipher Block Chaining (CBC) mode.  These cipher suites offer additional security over Electronic Codebook (ECB) mode, but have the potential to leak information if used improperly.;n/a;172.17.7.11;3790;RAGEGUY;tcp;None;False;;;;SSL Cipher Block Chaining Cipher Suites Supported;http://www.openssl.org/docs/apps/ciphers.html http://www.nessus.org/u?cc4a822a http://www.openssl.org/~bodo/tls-cbc.txt;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote service supports the use of SSL Cipher Block Chaining ciphers, which combine previous blocks with subsequent ones.;The remote host supports the use of SSL ciphers that operate in Cipher Block Chaining (CBC) mode.  These cipher suites offer additional security over Electronic Codebook (ECB) mode, but have the potential to leak information if used improperly.;n/a;172.17.7.11;8834;RAGEGUY;tcp;None;False;;;;SSL Cipher Block Chaining Cipher Suites Supported;http://www.openssl.org/docs/apps/ciphers.html http://www.nessus.org/u?cc4a822a http://www.openssl.org/~bodo/tls-cbc.txt;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
